EnhID,Enh.chr,Enh.start,Enh.end,Int.start,Int_end,gene symbol,Interaction,Pvalue,
27,1,130000,135000,115000,120000,,1,0.000051,
27,1,130000,135000,125000,130000,,1,0,
27,1,130000,135000,160000,165000,RP11-34P13.9,1,0.005471,
28,1,135000,140000,90000,95000,LINC00115,1,0.019892,
28,1,135000,140000,90000,95000,RP11-206L10.10,1,0.019892,
28,1,135000,140000,90000,95000,RP11-34P13.8,1,0.019892,
28,1,135000,140000,95000,100000,,1,0.012441,
28,1,135000,140000,155000,160000,RNU6-1100P,1,0.000252,
28,1,135000,140000,155000,160000,RP11-34P13.9,1,0.000252,
32,1,155000,160000,135000,140000,AL627309.1,1,0.000252,
32,1,155000,160000,135000,140000,RP11-34P13.14,1,0.000252,
32,1,155000,160000,135000,140000,RP11-34P13.15,1,0.000252,
32,1,155000,160000,135000,140000,RP11-34P13.16,1,0.000252,
32,1,155000,160000,165000,170000,,1,0.000001,
33,1,160000,165000,125000,130000,,1,0.008365,
33,1,160000,165000,130000,135000,CICP27,1,0.005471,
33,1,160000,165000,130000,135000,RP11-34P13.15,1,0.005471,
33,1,160000,165000,130000,135000,RP11-34P13.7,1,0.005471,
34,1,165000,170000,155000,160000,RNU6-1100P,1,0.000001,
34,1,165000,170000,155000,160000,RP11-34P13.9,1,0.000001,
50,1,245000,250000,225000,230000,AP006222.1,1,0.000226,
51,1,250000,255000,265000,270000,AP006222.2,1,0.000027,
52,1,255000,260000,225000,230000,AP006222.1,1,0.003329,
52,1,255000,260000,265000,270000,AP006222.2,1,0,
53,1,260000,265000,265000,270000,AP006222.2,1,0,
111,1,550000,555000,530000,535000,RP5-857K21.3,1,0.000285,
112,1,555000,560000,520000,525000,CATG00000042732.1,1,0.010805,
112,1,555000,560000,520000,525000,RP5-857K21.1,1,0.010805,
112,1,555000,560000,520000,525000,RP5-857K21.2,1,0.010805,
114,1,565000,570000,610000,615000,WBP1LP6,1,0.009742,
114,1,565000,570000,620000,625000,OR4F16,1,0.0202,
115,1,570000,575000,530000,535000,RP5-857K21.3,1,0.009911,
117,1,580000,585000,530000,535000,RP5-857K21.3,1,0.029337,
118,1,585000,590000,560000,565000,MTATP6P1,1,0.001683,
118,1,585000,590000,560000,565000,MTND1P23,1,0.001683,
118,1,585000,590000,560000,565000,MTND2P28,1,0.001683,
118,1,585000,590000,560000,565000,RP5-857K21.5,1,0.001683,
119,1,590000,595000,610000,615000,WBP1LP6,1,0.000484,
121,1,600000,605000,560000,565000,MTATP6P1,1,0.009342,
121,1,600000,605000,560000,565000,MTND1P23,1,0.009342,
121,1,600000,605000,560000,565000,MTND2P28,1,0.009342,
121,1,600000,605000,560000,565000,RP5-857K21.5,1,0.009342,
121,1,600000,605000,620000,625000,OR4F16,1,0.000197,
123,1,610000,615000,565000,570000,CATG00000042733.1,1,0.009742,
123,1,610000,615000,565000,570000,MTATP6P1,1,0.009742,
123,1,610000,615000,565000,570000,MTATP8P1,1,0.009742,
123,1,610000,615000,565000,570000,MTND1P23,1,0.009742,
123,1,610000,615000,565000,570000,MTND2P28,1,0.009742,
123,1,610000,615000,565000,570000,RP5-857K21.11,1,0.009742,
123,1,610000,615000,565000,570000,RP5-857K21.7,1,0.009742,
123,1,610000,615000,565000,570000,hsa-mir-6723,1,0.009742,
123,1,610000,615000,590000,595000,,1,0.000484,
123,1,610000,615000,620000,625000,OR4F16,1,0.000001,
123,1,610000,615000,625000,630000,,1,0.000044,
124,1,615000,620000,605000,610000,WBP1LP6,1,0.000001,
125,1,620000,625000,565000,570000,CATG00000042733.1,1,0.0202,
125,1,620000,625000,565000,570000,MTATP6P1,1,0.0202,
125,1,620000,625000,565000,570000,MTATP8P1,1,0.0202,
125,1,620000,625000,565000,570000,MTND1P23,1,0.0202,
125,1,620000,625000,565000,570000,MTND2P28,1,0.0202,
125,1,620000,625000,565000,570000,RP5-857K21.11,1,0.0202,
125,1,620000,625000,565000,570000,RP5-857K21.7,1,0.0202,
125,1,620000,625000,565000,570000,hsa-mir-6723,1,0.0202,
125,1,620000,625000,600000,605000,,1,0.000197,
125,1,620000,625000,610000,615000,WBP1LP6,1,0.000001,
125,1,620000,625000,635000,640000,,1,0.00005,
126,1,625000,630000,610000,615000,WBP1LP6,1,0.000044,
127,1,630000,635000,655000,660000,CICP3,1,0.001942,
127,1,630000,635000,655000,660000,RP5-857K21.4,1,0.001942,
128,1,635000,640000,620000,625000,OR4F16,1,0.00005,
129,1,640000,645000,605000,610000,WBP1LP6,1,0.011643,
130,1,645000,650000,660000,665000,RP11-206L10.1,1,0.000056,
130,1,645000,650000,660000,665000,RP5-857K21.4,1,0.000056,
130,1,645000,650000,710000,715000,RP11-206L10.9,1,0.038921,
131,1,650000,655000,695000,700000,RP11-206L10.4,1,0.028655,
131,1,650000,655000,695000,700000,RP11-206L10.5,1,0.028655,
131,1,650000,655000,700000,705000,RP11-206L10.5,1,0.033268,
132,1,655000,660000,630000,635000,,1,0.001942,
132,1,655000,660000,695000,700000,RP11-206L10.4,1,0.01881,
132,1,655000,660000,695000,700000,RP11-206L10.5,1,0.01881,
132,1,655000,660000,720000,725000,,1,0.037402,
132,1,655000,660000,725000,730000,,1,0.040293,
133,1,660000,665000,645000,650000,,1,0.000056,
133,1,660000,665000,675000,680000,RP11-206L10.2,1,0.000055,
133,1,660000,665000,695000,700000,RP11-206L10.4,1,0.010826,
133,1,660000,665000,695000,700000,RP11-206L10.5,1,0.010826,
133,1,660000,665000,700000,705000,RP11-206L10.5,1,0.014895,
133,1,660000,665000,710000,715000,RP11-206L10.9,1,0.016199,
133,1,660000,665000,725000,730000,,1,0.032249,
134,1,665000,670000,690000,695000,RNU6-1199P,1,0.00111,
134,1,665000,670000,695000,700000,RP11-206L10.4,1,0.003566,
134,1,665000,670000,695000,700000,RP11-206L10.5,1,0.003566,
135,1,670000,675000,680000,685000,RP11-206L10.3,1,0.000001,
135,1,670000,675000,735000,740000,AL669831.1,1,0.030762,
136,1,675000,680000,660000,665000,RP11-206L10.1,1,0.000055,
136,1,675000,680000,660000,665000,RP5-857K21.4,1,0.000055,
136,1,675000,680000,705000,710000,,1,0.003507,
136,1,675000,680000,710000,715000,RP11-206L10.9,1,0.003341,
136,1,675000,680000,730000,735000,,1,0.023347,
136,1,675000,680000,735000,740000,AL669831.1,1,0.030522,
137,1,680000,685000,670000,675000,,1,0.000001,
137,1,680000,685000,705000,710000,,1,0.001242,
137,1,680000,685000,735000,740000,AL669831.1,1,0.022815,
138,1,685000,690000,695000,700000,RP11-206L10.4,1,0.000001,
138,1,685000,690000,695000,700000,RP11-206L10.5,1,0.000001,
138,1,685000,690000,705000,710000,,1,0.000285,
139,1,690000,695000,665000,670000,,1,0.00111,
139,1,690000,695000,725000,730000,,1,0.002048,
139,1,690000,695000,730000,735000,,1,0.005453,
139,1,690000,695000,740000,745000,AL669831.1,1,0.016743,
139,1,690000,695000,740000,745000,RP11-206L10.8,1,0.016743,
139,1,690000,695000,750000,755000,FAM87B,1,0.0268,
140,1,695000,700000,650000,655000,,1,0.028655,
140,1,695000,700000,655000,660000,CICP3,1,0.01881,
140,1,695000,700000,655000,660000,RP5-857K21.4,1,0.01881,
140,1,695000,700000,660000,665000,RP11-206L10.1,1,0.010826,
140,1,695000,700000,660000,665000,RP5-857K21.4,1,0.010826,
140,1,695000,700000,665000,670000,,1,0.003566,
140,1,695000,700000,685000,690000,RP11-206L10.3,1,0.000001,
140,1,695000,700000,735000,740000,AL669831.1,1,0.005945,
140,1,695000,700000,750000,755000,FAM87B,1,0.021881,
140,1,695000,700000,765000,770000,,1,0.039033,
141,1,700000,705000,650000,655000,,1,0.033268,
141,1,700000,705000,660000,665000,RP11-206L10.1,1,0.014895,
141,1,700000,705000,660000,665000,RP5-857K21.4,1,0.014895,
141,1,700000,705000,775000,780000,,1,0.040347,
142,1,705000,710000,675000,680000,RP11-206L10.2,1,0.003507,
142,1,705000,710000,680000,685000,RP11-206L10.3,1,0.001242,
142,1,705000,710000,685000,690000,RP11-206L10.3,1,0.000285,
142,1,705000,710000,745000,750000,RP11-206L10.8,1,0.00459,
142,1,705000,710000,760000,765000,RP11-206L10.11,1,0.013501,
143,1,710000,715000,645000,650000,,1,0.038921,
143,1,710000,715000,660000,665000,RP11-206L10.1,1,0.016199,
143,1,710000,715000,660000,665000,RP5-857K21.4,1,0.016199,
143,1,710000,715000,675000,680000,RP11-206L10.2,1,0.003341,
145,1,720000,725000,655000,660000,CICP3,1,0.037402,
145,1,720000,725000,655000,660000,RP5-857K21.4,1,0.037402,
146,1,725000,730000,655000,660000,CICP3,1,0.040293,
146,1,725000,730000,655000,660000,RP5-857K21.4,1,0.040293,
146,1,725000,730000,660000,665000,RP11-206L10.1,1,0.032249,
146,1,725000,730000,660000,665000,RP5-857K21.4,1,0.032249,
146,1,725000,730000,690000,695000,RNU6-1199P,1,0.002048,
147,1,730000,735000,675000,680000,RP11-206L10.2,1,0.023347,
147,1,730000,735000,690000,695000,RNU6-1199P,1,0.005453,
148,1,735000,740000,224200000,224205000,,16,25.305898,
148,1,735000,740000,224210000,224215000,,26,47.169877,
148,1,735000,740000,224215000,224220000,AC138393.1,21,35.818189,
148,1,735000,740000,670000,675000,,1,0.030762,
148,1,735000,740000,675000,680000,RP11-206L10.2,1,0.030522,
148,1,735000,740000,680000,685000,RP11-206L10.3,1,0.022815,
148,1,735000,740000,695000,700000,RP11-206L10.4,1,0.005945,
148,1,735000,740000,695000,700000,RP11-206L10.5,1,0.005945,
148,1,735000,740000,820000,825000,,1,0.019953,
148,1,735000,740000,835000,840000,RP11-54O7.16,1,0.038501,
149,1,740000,745000,690000,695000,RNU6-1199P,1,0.016743,
149,1,740000,745000,830000,835000,CATG00000042782.1,1,0.03232,
150,1,745000,750000,224220000,224225000,RP11-504P24.5,10,15.895974,
150,1,745000,750000,705000,710000,,1,0.00459,
150,1,745000,750000,835000,840000,RP11-54O7.16,1,0.031586,
151,1,750000,755000,690000,695000,RNU6-1199P,1,0.0268,
151,1,750000,755000,695000,700000,RP11-206L10.4,1,0.021881,
151,1,750000,755000,695000,700000,RP11-206L10.5,1,0.021881,
151,1,750000,755000,845000,850000,RP11-54O7.1,1,0.034931,
151,1,750000,755000,845000,850000,RP11-54O7.2,1,0.034931,
151,1,750000,755000,845000,850000,RP11-54O7.3,1,0.034931,
154,1,765000,770000,695000,700000,RP11-206L10.4,1,0.039033,
154,1,765000,770000,695000,700000,RP11-206L10.5,1,0.039033,
154,1,765000,770000,865000,870000,AL645608.1,1,0.033953,
156,1,775000,780000,700000,705000,RP11-206L10.5,1,0.040347,
156,1,775000,780000,875000,880000,NOC2L,1,0.034716,
158,1,785000,790000,840000,845000,RP11-54O7.16,1,0.007249,
158,1,785000,790000,840000,845000,RP11-54O7.3,1,0.007249,
161,1,800000,805000,905000,910000,C1orf170,1,0.035905,
165,1,820000,825000,735000,740000,AL669831.1,1,0.019953,
167,1,830000,835000,740000,745000,AL669831.1,1,0.03232,
167,1,830000,835000,740000,745000,RP11-206L10.8,1,0.03232,
168,1,835000,840000,735000,740000,AL669831.1,1,0.038501,
168,1,835000,840000,745000,750000,RP11-206L10.8,1,0.031586,
170,1,845000,850000,750000,755000,FAM87B,1,0.034931,
170,1,845000,850000,955000,960000,AGRN,1,0.039482,
170,1,845000,850000,955000,960000,CATG00000042920.1,1,0.039482,
178,1,885000,890000,985000,990000,CATG00000042982.1,1,0.035093,
178,1,885000,890000,985000,990000,RP11-54O7.14,1,0.035093,
183,1,910000,915000,985000,990000,CATG00000042982.1,1,0.017321,
183,1,910000,915000,985000,990000,RP11-54O7.14,1,0.017321,
192,1,955000,960000,845000,850000,RP11-54O7.1,1,0.039482,
192,1,955000,960000,845000,850000,RP11-54O7.2,1,0.039482,
192,1,955000,960000,845000,850000,RP11-54O7.3,1,0.039482,
196,1,975000,980000,875000,880000,NOC2L,1,0.032395,
198,1,985000,990000,885000,890000,,1,0.035093,
198,1,985000,990000,910000,915000,C1orf170,1,0.017321,
212,1,1055000,1060000,1010000,1015000,CATG00000006163.1,1,0.003839,
216,1,1075000,1080000,1010000,1015000,CATG00000006163.1,1,0.022204,
219,1,1090000,1095000,1010000,1015000,CATG00000006163.1,1,0.031297,
219,1,1090000,1095000,1180000,1185000,UBE2J2,1,0.032345,
226,1,1125000,1130000,1210000,1215000,RP5-902P8.10,1,0.018428,
226,1,1125000,1130000,1210000,1215000,SCNN1D,1,0.018428,
274,1,1365000,1370000,1455000,1460000,CATG00000043384.1,1,0.029275,
291,1,1450000,1455000,1360000,1365000,ATAD3B,1,0.037529,
291,1,1450000,1455000,1360000,1365000,RP4-758J18.10,1,0.037529,
291,1,1450000,1455000,1360000,1365000,VWA1,1,0.037529,
292,1,1455000,1460000,1365000,1370000,ATAD3B,1,0.029275,
304,1,1515000,1520000,1605000,1610000,RP11-345P4.6,1,0.039423,
306,1,1525000,1530000,1465000,1470000,TMEM240,1,0.006925,
314,1,1565000,1570000,1605000,1610000,RP11-345P4.6,1,0.004477,
318,1,1585000,1590000,1645000,1650000,,38,15.372166,
318,1,1585000,1590000,1650000,1655000,RP1-283E3.4,46,22.097167,
320,1,1595000,1600000,1630000,1635000,MMP23A,1,0.003678,
320,1,1595000,1600000,1630000,1635000,NADK,1,0.003678,
322,1,1605000,1610000,1515000,1520000,AL645728.3,1,0.039423,
322,1,1605000,1610000,1565000,1570000,CATG00000043581.1,1,0.004477,
322,1,1605000,1610000,1565000,1570000,CDK11A,1,0.004477,
322,1,1605000,1610000,1565000,1570000,CDK11B,1,0.004477,
322,1,1605000,1610000,1565000,1570000,MMP23B,1,0.004477,
322,1,1605000,1610000,1630000,1635000,MMP23A,1,0.000715,
322,1,1605000,1610000,1630000,1635000,NADK,1,0.000715,
322,1,1605000,1610000,1640000,1645000,,1,0.004854,
323,1,1610000,1615000,1630000,1635000,MMP23A,1,0.000069,
323,1,1610000,1615000,1630000,1635000,NADK,1,0.000069,
326,1,1625000,1630000,1680000,1685000,,34,13.322421,
326,1,1625000,1630000,1640000,1645000,,1,0.000023,
326,1,1625000,1630000,1655000,1660000,RP1-283E3.4,1,0.001501,
326,1,1625000,1630000,1655000,1660000,SLC35E2,1,0.001501,
327,1,1630000,1635000,1595000,1600000,,1,0.003678,
327,1,1630000,1635000,1605000,1610000,RP11-345P4.6,1,0.000715,
327,1,1630000,1635000,1610000,1615000,,1,0.000069,
327,1,1630000,1635000,1640000,1645000,,1,0.000001,
327,1,1630000,1635000,1655000,1660000,RP1-283E3.4,1,0.001003,
327,1,1630000,1635000,1655000,1660000,SLC35E2,1,0.001003,
327,1,1630000,1635000,1675000,1680000,,1,0.025015,
327,1,1630000,1635000,1685000,1690000,,1,0.018619,
328,1,1635000,1640000,1570000,1575000,CDK11A,36,17.913185,
328,1,1635000,1640000,1570000,1575000,CDK11B,36,17.913185,
328,1,1635000,1640000,1710000,1715000,CATG00000057235.1,1,0.03009,
329,1,1640000,1645000,1590000,1595000,RP1-283E3.8,1,0.018791,
329,1,1640000,1645000,1590000,1595000,RP11-345P4.10,1,0.018791,
329,1,1640000,1645000,1605000,1610000,RP11-345P4.6,1,0.004854,
329,1,1640000,1645000,1625000,1630000,NADK,1,0.000023,
329,1,1640000,1645000,1630000,1635000,MMP23A,1,0.000001,
329,1,1640000,1645000,1630000,1635000,NADK,1,0.000001,
329,1,1640000,1645000,1655000,1660000,RP1-283E3.4,1,0.000022,
329,1,1640000,1645000,1655000,1660000,SLC35E2,1,0.000022,
329,1,1640000,1645000,1670000,1675000,CATG00000043609.1,1,0.002867,
329,1,1640000,1645000,1710000,1715000,CATG00000057235.1,1,0.036186,
330,1,1645000,1650000,1585000,1590000,RP11-345P4.10,38,15.372166,
330,1,1645000,1650000,1585000,1590000,SLC35E2B,38,15.372166,
331,1,1650000,1655000,1585000,1590000,RP11-345P4.10,46,22.097167,
331,1,1650000,1655000,1585000,1590000,SLC35E2B,46,22.097167,
332,1,1655000,1660000,1625000,1630000,NADK,1,0.001501,
332,1,1655000,1660000,1630000,1635000,MMP23A,1,0.001003,
332,1,1655000,1660000,1630000,1635000,NADK,1,0.001003,
332,1,1655000,1660000,1640000,1645000,,1,0.000022,
333,1,1660000,1665000,1590000,1595000,RP1-283E3.8,49,25.36118,
333,1,1660000,1665000,1590000,1595000,RP11-345P4.10,49,25.36118,
336,1,1675000,1680000,1630000,1635000,MMP23A,1,0.025015,
336,1,1675000,1680000,1630000,1635000,NADK,1,0.025015,
337,1,1680000,1685000,1625000,1630000,NADK,34,13.322421,
337,1,1680000,1685000,1835000,1840000,CALML6,24,15.74226,
337,1,1680000,1685000,1835000,1840000,CATG00000043630.1,24,15.74226,
338,1,1685000,1690000,1835000,1840000,CALML6,27,16.561692,
338,1,1685000,1690000,1835000,1840000,CATG00000043630.1,27,16.561692,
338,1,1685000,1690000,1630000,1635000,MMP23A,1,0.018619,
338,1,1685000,1690000,1630000,1635000,NADK,1,0.018619,
339,1,1690000,1695000,1835000,1840000,CALML6,29,17.617001,
339,1,1690000,1695000,1835000,1840000,CATG00000043630.1,29,17.617001,
354,1,1765000,1770000,1850000,1855000,C1orf222,1,0.020341,
354,1,1765000,1770000,1850000,1855000,CATG00000067532.1,1,0.020341,
354,1,1765000,1770000,1850000,1855000,TMEM52,1,0.020341,
356,1,1775000,1780000,1875000,1880000,CATG00000071025.1,1,0.033615,
368,1,1835000,1840000,1680000,1685000,,24,15.74226,
368,1,1835000,1840000,1685000,1690000,,27,16.561692,
368,1,1835000,1840000,1690000,1695000,,29,17.617001,
368,1,1835000,1840000,1945000,1950000,GABRD,1,0.040492,
369,1,1840000,1845000,1900000,1905000,,1,0.006732,
369,1,1840000,1845000,1940000,1945000,RP11-547D24.1,1,0.034526,
370,1,1845000,1850000,1925000,1930000,,1,0.01678,
370,1,1845000,1850000,1950000,1955000,GABRD,1,0.034025,
381,1,1900000,1905000,1830000,1835000,CATG00000043630.1,1,0.014008,
381,1,1900000,1905000,1840000,1845000,CALML6,1,0.006732,
386,1,1925000,1930000,1845000,1850000,TMEM52,1,0.01678,
389,1,1940000,1945000,1840000,1845000,CALML6,1,0.034526,
390,1,1945000,1950000,1835000,1840000,CALML6,1,0.040492,
390,1,1945000,1950000,1835000,1840000,CATG00000043630.1,1,0.040492,
391,1,1950000,1955000,1845000,1850000,TMEM52,1,0.034025,
409,1,2040000,2045000,2140000,2145000,AL590822.1,1,0.034446,
409,1,2040000,2045000,2140000,2145000,RP11-181G12.5,1,0.034446,
412,1,2055000,2060000,2125000,2130000,RP11-181G12.4,1,0.014421,
412,1,2055000,2060000,2150000,2155000,CATG00000043759.1,1,0.036201,
418,1,2085000,2090000,2155000,2160000,CATG00000043759.1,1,0.012417,
418,1,2085000,2090000,2155000,2160000,SKI,1,0.012417,
425,1,2120000,2125000,2315000,2320000,AL513477.1,23,15.094988,
426,1,2125000,2130000,2305000,2310000,RP4-740C4.8,20,12.088849,
426,1,2125000,2130000,2305000,2310000,RP4-740C4.9,20,12.088849,
426,1,2125000,2130000,2310000,2315000,RP4-740C4.8,21,13.109913,
426,1,2125000,2130000,2315000,2320000,AL513477.1,33,25.292894,
426,1,2125000,2130000,2055000,2060000,,1,0.014421,
427,1,2130000,2135000,2310000,2315000,RP4-740C4.8,23,14.27744,
452,1,2255000,2260000,2340000,2345000,PLCH2,1,0.021931,
462,1,2305000,2310000,2125000,2130000,RP11-181G12.4,20,12.088849,
462,1,2305000,2310000,2395000,2400000,,1,0.02505,
463,1,2310000,2315000,2125000,2130000,RP11-181G12.4,21,13.109913,
463,1,2310000,2315000,2130000,2135000,RP11-181G12.4,23,14.27744,
464,1,2315000,2320000,2120000,2125000,AL590822.2,23,15.094988,
464,1,2315000,2320000,2125000,2130000,RP11-181G12.4,33,25.292894,
465,1,2320000,2325000,2425000,2430000,RP3-395M20.2,1,0.037704,
465,1,2320000,2325000,2425000,2430000,RP3-395M20.3,1,0.037704,
469,1,2340000,2345000,2255000,2260000,AL589739.1,1,0.021931,
469,1,2340000,2345000,2255000,2260000,RP4-713A8.1,1,0.021931,
470,1,2345000,2350000,2475000,2480000,,39,23.889633,
470,1,2345000,2350000,2480000,2485000,TNFRSF14,26,14.626619,
471,1,2350000,2355000,2295000,2300000,RP4-740C4.7,1,0.005722,
480,1,2395000,2400000,2290000,2295000,RP4-740C4.7,1,0.039074,
480,1,2395000,2400000,2305000,2310000,RP4-740C4.8,1,0.02505,
480,1,2395000,2400000,2305000,2310000,RP4-740C4.9,1,0.02505,
486,1,2425000,2430000,2320000,2325000,RER1,1,0.037704,
493,1,2460000,2465000,2545000,2550000,,1,0.020409,
493,1,2460000,2465000,2565000,2570000,RP13-436F16.1,1,0.040655,
493,1,2460000,2465000,2565000,2570000,TTC34,1,0.040655,
496,1,2475000,2480000,2345000,2350000,PLCH2,39,23.889633,
497,1,2480000,2485000,2345000,2350000,PLCH2,26,14.626619,
497,1,2480000,2485000,2565000,2570000,RP13-436F16.1,1,0.027953,
497,1,2480000,2485000,2565000,2570000,TTC34,1,0.027953,
497,1,2480000,2485000,2580000,2585000,,1,0.031196,
510,1,2545000,2550000,2460000,2465000,HES5,1,0.020409,
510,1,2545000,2550000,2460000,2465000,RP3-395M20.12,1,0.020409,
514,1,2565000,2570000,2460000,2465000,HES5,1,0.040655,
514,1,2565000,2570000,2460000,2465000,RP3-395M20.12,1,0.040655,
514,1,2565000,2570000,2480000,2485000,TNFRSF14,1,0.027953,
517,1,2580000,2585000,2480000,2485000,TNFRSF14,1,0.031196,
525,1,2620000,2625000,2515000,2520000,CATG00000043953.1,1,0.035061,
525,1,2620000,2625000,2515000,2520000,FAM213B,1,0.035061,
525,1,2620000,2625000,2515000,2520000,MMEL1,1,0.035061,
527,1,2630000,2635000,2555000,2560000,CATG00000096867.1,1,0.029285,
527,1,2630000,2635000,2560000,2565000,CATG00000096867.1,1,0.027515,
527,1,2630000,2635000,2560000,2565000,RP13-436F16.1,1,0.027515,
537,1,2680000,2685000,2730000,2735000,RP11-740P5.2,1,0.013163,
537,1,2680000,2685000,2730000,2735000,RP11-740P5.3,1,0.013163,
579,1,2890000,2895000,2980000,2985000,PRDM16,1,0.029446,
586,1,2925000,2930000,3210000,3215000,CATG00000044101.1,17,12.26595,
588,1,2935000,2940000,3210000,3215000,CATG00000044101.1,17,12.174785,
588,1,2935000,2940000,3255000,3260000,,17,13.17644,
599,1,2990000,2995000,3225000,3230000,RP11-22L13.1,20,13.844253,
603,1,3010000,3015000,2905000,2910000,CATG00000103624.1,1,0.037771,
627,1,3130000,3135000,2985000,2990000,PRDM16,23,12.413395,
643,1,3210000,3215000,2925000,2930000,,17,12.26595,
643,1,3210000,3215000,2935000,2940000,ACTRT2,17,12.174785,
652,1,3255000,3260000,2935000,2940000,ACTRT2,17,13.17644,
661,1,3300000,3305000,3380000,3385000,CATG00000044153.1,1,0.017448,
664,1,3315000,3320000,3400000,3405000,RP11-168F9.2,1,0.021498,
681,1,3400000,3405000,3535000,3540000,RP11-46F15.2,30,17.227908,
681,1,3400000,3405000,3535000,3540000,TPRG1L,30,17.227908,
681,1,3400000,3405000,3315000,3320000,,1,0.021498,
682,1,3405000,3410000,3535000,3540000,RP11-46F15.2,42,26.81011,
682,1,3405000,3410000,3535000,3540000,TPRG1L,42,26.81011,
683,1,3410000,3415000,3535000,3540000,RP11-46F15.2,26,13.323705,
683,1,3410000,3415000,3535000,3540000,TPRG1L,26,13.323705,
708,1,3535000,3540000,3400000,3405000,RP11-168F9.2,30,17.227908,
708,1,3535000,3540000,3405000,3410000,,42,26.81011,
708,1,3535000,3540000,3410000,3415000,,26,13.323705,
734,1,3665000,3670000,3770000,3775000,DFFB,1,0.040723,
749,1,3740000,3745000,3645000,3650000,TP73-AS1,1,0.030468,
749,1,3740000,3745000,3835000,3840000,CATG00000044391.1,1,0.03341,
755,1,3770000,3775000,3665000,3670000,CCDC27,1,0.040723,
766,1,3825000,3830000,3995000,4000000,RP13-614K11.1,24,15.147295,
766,1,3825000,3830000,4000000,4005000,RP13-614K11.1,28,18.761008,
767,1,3830000,3835000,3995000,4000000,RP13-614K11.1,23,14.195381,
767,1,3830000,3835000,4000000,4005000,RP13-614K11.1,23,14.170083,
767,1,3830000,3835000,4005000,4010000,RP13-614K11.2,21,12.681101,
768,1,3835000,3840000,3995000,4000000,RP13-614K11.1,35,25.27898,
768,1,3835000,3840000,4000000,4005000,RP13-614K11.1,31,21.429686,
768,1,3835000,3840000,4005000,4010000,RP13-614K11.2,23,14.402746,
768,1,3835000,3840000,3740000,3745000,,1,0.03341,
769,1,3840000,3845000,3995000,4000000,RP13-614K11.1,47,35.876673,
769,1,3840000,3845000,4000000,4005000,RP13-614K11.1,43,31.951781,
769,1,3840000,3845000,4005000,4010000,RP13-614K11.2,34,23.819546,
769,1,3840000,3845000,4010000,4015000,RP13-614K11.2,29,19.465988,
